N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"83,000","1,000",+1.22%,100,"4,954,920","5,969,783",55.06,"27,784,056",22.67,8.69,
2,SK하이닉스,"125,000","2,500",+2.04%,"5,000","910,003","728,002",49.94,"5,604,756",31.71,4.25,
3,LG화학,"950,000","33,000",+3.60%,"5,000","670,627","70,592",43.07,"397,684",88.76,1.84,
4,삼성전자우,"73,300",200,+0.27%,100,"603,176","822,887",79.47,"4,490,145",20.02,N/A,
5,NAVER,"348,000","5,000",+1.46%,100,"571,637","164,263",57.08,"984,863",69.28,10.56,
6,삼성바이오로직스,"813,000","20,000",+2.52%,"2,500","537,921","66,165",10.49,"137,759",151.37,4.77,
7,삼성SDI,"745,000","11,000",+1.50%,"5,000","512,296","68,765",44.10,"435,137",254.18,2.94,
8,현대차,"238,500","9,500",+4.15%,"5,000","509,599","213,668",30.99,"1,785,427",56.99,4.32,
9,셀트리온,"371,000","47,000",+14.51%,"1,000","500,842","134,998",20.85,"5,971,066",100.27,11.19,
10,카카오,"441,500",500,+0.11%,500,"390,996","88,561",33.76,"905,986",-490.01,-5.81,
11,기아차,"90,000","7,500",+9.09%,"5,000","364,827","405,363",35.10,"7,898,021",41.82,6.50,
12,현대모비스,"335,500","18,000",+5.67%,"5,000","318,908","95,055",41.03,"662,311",20.46,7.28,
13,SK이노베이션,"316,000","36,000",+12.86%,"5,000","292,191","92,466",23.36,"3,308,739",-12.02,-0.20,
14,LG전자,"158,000","5,000",+3.27%,"5,000","258,564","163,648",33.40,"3,595,604",34.32,0.22,
15,LG생활건강,"1,564,000","7,000",+0.45%,"5,000","244,269","15,618",45.84,"38,611",35.04,20.32,
16,삼성물산,"130,500",500,+0.38%,100,"243,888","186,887",14.83,"986,028",21.86,4.77,
17,SK,"329,000","18,000",+5.79%,200,"231,485","70,360",21.57,"581,239","1,388.19",4.31,
18,POSCO,"253,000","7,500",+3.05%,"5,000","220,583","87,187",50.92,"385,826",23.17,4.18,
19,엔씨소프트,"953,000",0,0.00%,500,"209,222","21,954",49.88,"82,627",37.29,14.72,
20,SK텔레콤,"245,500","1,500",+0.61%,500,"198,231","80,746",35.06,"364,752",18.08,3.92,
21,LG,"103,000","3,900",+3.94%,"5,000","177,734","172,557",34.76,"487,713",14.56,5.87,
22,KB금융,"42,100","1,800",+4.47%,"5,000","175,055","415,808",66.31,"1,992,832",5.14,8.92,
23,신한지주,"31,450",800,+2.61%,"5,000","162,471","516,600",58.33,"2,049,541",4.51,9.09,
24,삼성전기,"206,000","2,000",+0.98%,"5,000","153,869","74,694",35.44,"651,018",42.20,10.18,
25,삼성에스디에스,"194,000","1,500",-0.77%,500,"150,113","77,378",11.66,"328,559",28.64,11.76,
26,한국전력,"22,850",0,0.00%,"5,000","146,689","641,964",17.06,"4,281,091",158.68,-3.42,
27,삼성생명,"71,000",400,+0.57%,500,"142,000","200,000",12.37,"603,518",14.26,3.26,
28,아모레퍼시픽,"223,000",0,0.00%,500,"130,362","58,458",32.94,"242,253",358.52,5.36,
29,넷마블,"139,500","8,000",+6.08%,100,"119,800","85,878",23.65,"1,046,754",56.50,3.54,
30,SK바이오팜,"149,000","4,000",+2.76%,500,"116,687","78,313",4.80,"317,898",-135.45,-313.66,
31,KT&G,"80,100",100,-0.12%,"5,000","109,971","137,292",40.49,"628,168",11.17,12.39,
32,하나금융지주,"35,150","2,500",+7.66%,"5,000","105,535","300,242",66.90,"2,947,570",4.30,8.77,
33,한온시스템,"17,600",900,+5.39%,100,"93,949","533,800",19.99,"1,344,078",66.92,14.98,
34,롯데케미칼,"265,000","4,000",+1.53%,"5,000","90,830","34,275",26.18,"248,119",78.33,5.51,
35,한화솔루션,"51,500","1,700",+3.41%,"5,000","82,330","159,864",18.89,"1,943,686",-94.50,-4.02,
36,포스코케미칼,"134,500",0,0.00%,500,"82,029","60,988",7.42,"558,779",302.25,11.57,
37,고려아연,"433,500","27,500",+6.77%,"5,000","81,801","18,870",22.88,"180,583",14.60,9.76,
